1,Sgt. Peppers Lonely Hearts Club Band,The Beatles,Viverra Corporation,2011-10-23,200
2,Pet Sounds,The Beach Boys,Justo Eu Arcu Incorporated,1981-11-03,200
3,Revolver,The Beatles,Molestie LLC,1988-02-25,200
4,Highway 61 Revisited,Bob Dylan,Eget Limited,2021-12-30,200
5,Rubber Soul,The Beatles,Orci Lacus Vestibulum Limited,1977-02-04,200
6,What s Going On,Marvin Gaye,Nam Porttitor Scelerisque Foundation,2015-01-02,200
7,Exile on Main St.,The Rolling Stones,Taciti Corp.,2019-09-10,200
8,London Calling,The Clash,Vestibulum Ut Ltd,1985-11-24,200
9,Blonde on Blonde,Bob Dylan,Tempus Foundation,1990-08-07,200
10,The Beatles (The White Album),The Beatles,Eleifend Non Corporation,1966-06-05,200
11,The Sun Sessions,Elvis Presley,Turpis Vitae Purus LLC,2003-04-12,200
12,Kind of Blue,Miles Davis,At Limited,1995-07-27,200
13,The Velvet Underground & Nico,The Velvet Underground,Orci Sem Eget Corporation,1978-02-04,200
14,Abbey Road,The Beatles,In Scelerisque Consulting,2017-07-02,200
15,Are You Experienced,The Jimi Hendrix Experience,Ornare Libero Ltd,1978-03-27,200
16,Blood on the Tracks,Bob Dylan,Posuere Limited,1989-02-08,200
17,Nevermind,Nirvana,Accumsan Corporation,2012-06-27,200
18,Born to Run,Bruce Springsteen,Leo Limited,2013-12-28,200
19,Astral Weeks,Van Morrison,Pede Industries,2002-05-24,200
20,Thriller,Michael Jackson,Enim Corp.,1965-10-07,200
21,The Great Twenty_Eight,Chuck Berry,Aliquam Tincidunt Nunc Company,1973-09-09,200
22,The Complete Recordings,Robert Johnson,Massa Mauris Vestibulum Institute,1996-01-15,200
23,John Lennon/Plastic Ono Band,John Lennon Plastic Ono Band,Massa Vestibulum Institute,1962-09-02,200
24,Innervisions,Stevie Wonder,Malesuada Fames Foundation,2000-04-29,200
25,Live at the Apollo, 1962,Semper Corporation,2017-10-11,200
26,Rumours,Fleetwood Mac,Ipsum Porta Elit Associates,2018-01-07,200
27,The Joshua Tree,U2,A Magna Lorem Consulting,2017-12-01,200
28,Who s Next,The Who,Vitae Orci Associates,1982-04-11,200
29,Led Zeppelin,Led Zeppelin,Tristique LLC,1975-07-27,200
30,Blue,Joni Mitchell,Sit Amet Corp.,2008-11-16,200
31,Bringing It All Back Home,Bob Dylan,Quam Vel Sapien Limited,1989-06-11,200
32,Let It Bleed,The Rolling Stones,Rutrum Lorem Ac Company,1995-03-15,200
33,Ramones,Ramones,Est Corporation,1959-06-06,200
34,Music From Big Pink,The Band,Nascetur Incorporated,1978-05-07,200
35,The Rise and Fall of Ziggy Stardust and the Spiders From Mars,David Bowie,Consectetuer Cursus Et LLP,1976-09-01,200
36,Tapestry,Carole King,Malesuada Corporation,1959-09-23,200
37,Hotel California,Eagles,Consequat Corporation,1980-02-22,200
38,The Anthology,Muddy Waters,Nullam Institute,1968-09-25,200
39,Please Please Me,The Beatles,Curabitur Ut Odio Foundation,1991-03-22,200
40,Forever Changes,Love,Sed Diam Lorem LLC,1982-09-14,200
41,Never Mind the Bollocks Here s the Sex Pistols,Sex Pistols,Semper Ltd,1959-03-11,200
42,The Doors,The Doors,Ac Feugiat Non LLP,2014-09-18,200
43,The Dark Side of the Moon,Pink Floyd,Et Rutrum Eu PC,1983-01-19,200
44,Horses,Patti Smith,Ac Mi Incorporated,1999-04-18,200
45,The Band (The Brown Album),The Band,Sem LLC,1967-12-20,200
46,Legend: The Best of Bob Marley and The Wailers,Bob Marley & The Wailers,Duis Mi Enim Industries,1995-05-09,200
47,A Love Supreme,John Coltrane,Tincidunt Donec Vitae LLC,1997-09-07,200
48,It Takes a Nation of Millions to Hold Us Back,Public Enemy,Augue Sed Molestie PC,1983-05-31,200
49,At Fillmore East,The Allman Brothers Band,Pretium Aliquet Metus LLP,2000-11-02,200
50,Here s Little Richard,Little Richard,Quisque Ornare Tortor Corporation,1979-05-18,200
51,Bridge Over Troubled Water,Simon & Garfunkel,Ipsum Foundation,2011-11-10,201
52,Greatest Hits,Al Green,Posuere Enim Nisl Institute,1964-11-05,201
53,Meet The Beatles!,The Beatles,Ut LLP,1966-07-10,201
54,The Birth of Soul,Ray Charles,Eu Dolor Incorporated,1999-03-03,201
55,Electric Ladyland,The Jimi Hendrix Experience,Nulla Aliquet Proin LLP,1986-04-26,201
56,Elvis Presley,Elvis Presley,Urna Suscipit Nonummy LLP,1997-09-13,201
57,Songs in the Key of Life,Stevie Wonder,Velit Ltd,1992-03-30,201
58,Beggars Banquet,The Rolling Stones,Varius Ultrices Mauris LLC,1974-02-16,201
59,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,Donec Fringilla Corporation,1970-01-29,201
60,Trout Mask Replica,Captain Beefheart & His Magic Band,Enim Diam Vel Incorporated,1989-03-27,201
61,Greatest Hits,Sly & The Family Stone,Egestas Nunc Sed Limited,1974-01-05,201
62,Appetite for Destruction,Guns N  Roses,Adipiscing Lacus Associates,1978-02-02,201
63,Achtung Baby,U2,Et Rutrum Non Incorporated,2022-06-03,201
64,Sticky Fingers,The Rolling Stones,Dui Cum Sociis Industries,1978-05-13,201
65,Back to Mono (1958-1969),Phil Spector,Hymenaeos Corp.,2007-10-30,201
66,Moondance,Van Morrison,Neque In Ornare Institute,2013-10-05,201
67,Kid A,Radiohead,Ut Tincidunt Vehicula Industries,1995-01-26,201
68,Off the Wall,Michael Jackson,Tempor Bibendum Donec Limited,1975-10-20,201
69,[Led Zeppelin IV],Led Zeppelin,Etiam Vestibulum Massa Company,2012-03-10,201
70,The Stranger,Billy Joel,Vitae Orci Phasellus LLP,2006-05-18,201
71,Graceland,Paul Simon,Lacus Etiam LLC,1995-03-06,201
72,Superfly,Curtis Mayfield,Nibh Corp.,2004-07-16,201
73,Physical Graffiti,Led Zeppelin,In Felis Limited,1982-09-18,201
74,After the Gold Rush,Neil Young,Rutrum Corporation,2020-11-25,201
75,Star Time,James Brown,Porta Industries,1971-04-04,201
76,Purple Rain,Prince and the Revolution,Euismod Inc.,2008-04-23,201
77,Back in Black,AC/DC,Nullam Foundation,1967-01-24,201
78,Otis Blue: Otis Redding Sings Soul,Otis Redding,Dictum Corporation,1982-03-31,201
79,Led Zeppelin II,Led Zeppelin,Convallis Ligula Donec Inc.,2019-11-09,201
80,Imagine,John Lennon,Elementum Ltd,1969-06-20,201
81,The Clash,The Clash,Eget Lacus Mauris Ltd,1974-08-01,201
82,Harvest,Neil Young,Pellentesque Incorporated,2002-11-20,201
83,Axis: Bold as Love,The Jimi Hendrix Experience,Erat Institute,2012-05-19,201
84,I Never Loved a Man the Way I Love You,Aretha Franklin,Suspendisse Ac Metus Industries,2020-04-18,201
85,Lady Soul,Aretha Franklin,Malesuada Integer Id Industries,1979-05-01,201
86,Born in the U.S.A.,Bruce Springsteen,Ridiculus Mus Limited,1991-01-11,201
87,The Wall,Pink Floyd,Consectetuer Rhoncus Nullam Corporation,1967-03-09,201
88,At Folsom Prison,Johnny Cash,Nullam Company,2011-09-06,201
89,Dusty in Memphis,Dusty Springfield,Nibh LLC,1970-03-03,201
90,Talking Book,Stevie Wonder,Integer Incorporated,2011-04-01,201
91,Goodbye Yellow Brick Road,Elton John,Elit Sed PC,2013-02-26,201
92,20 Golden Greats,Buddy Holly,Justo Sit Associates,1993-01-25,201
93,Sign Peace the Times,Prince,Vitae Purus Gravida Company,1982-08-22,201
94,40 Greatest Hits,Hank Williams,Lacus Mauris Non PC,1984-09-03,201
95,Bitches Brew,Miles Davis,At PC,1988-08-23,201
96,Tommy,The Who,Ornare Sagittis Inc.,1961-09-25,201
97,The Freewheelin  Bob Dylan,Bob Dylan,A Odio Semper Institute,1971-08-25,201
98,This Year s Model,Elvis Costello,Amet Inc.,1983-12-10,201
99,There s a Riot Goin  On,Sly & The Family Stone,Mollis Dui LLC,1959-04-30,201
100,Odessey and Oracle,The Zombies,Justo Faucibus LLC,1992-08-02,201
101,In the Wee Small Hours,Frank Sinatra,Non Hendrerit Associates,1972-09-06,201
102,Fresh Cream,Cream,Eu Metus In Associates,2000-06-14,202
103,Giant Steps,John Coltrane,Hendrerit Donec Ltd,1995-01-13,202
104,Sweet Baby James,James Taylor,Imperdiet Dictum Industries,2014-04-20,202
105,Modern Sounds in Country and Western Music,Ray Charles,Placerat Industries,1996-02-25,202
106,Rocket to Russia,Ramones,Diam Inc.,2021-10-04,202
107,Portrait of a Legend 1951-1964,Sam Cooke,Nibh Incorporated,2012-10-13,202
108,Hunky Dory,David Bowie,Mauris Blandit Enim Inc.,2011-01-30,202
109,Aftermath,The Rolling Stones,Odio A Purus LLC,2004-06-26,202
110,Loaded,The Velvet Underground,Sed Eu Eros LLC,2014-03-09,202
111,The Bends,Radiohead,Pretium Aliquet Metus PC,2016-09-04,202
112,If You Can Believe Your Eyes and Ears,The Mamas and the Papas,Nulla Integer Foundation,1959-05-02,202
113,Court and Spark,Joni Mitchell,Eget Tincidunt Dui Consulting,1971-12-01,202
114,Disraeli Gears,Cream,Lorem Ltd,1979-05-06,202
115,The Who Sell Out,The Who,Non Lorem Vitae Corporation,1963-03-07,202
116,Out of Our Heads,The Rolling Stones,Aliquet Diam Sed PC,2006-10-28,202
117,Layla and Other Assorted Love Songs,Derek and the Dominos,Id Associates,2007-09-21,202
118,Late Registration,Kanye West,Suspendisse Corp.,1981-09-17,202
119,At Last!,Etta James,Sapien PC,2008-05-22,202
120,Sweetheart of the Rodeo,The Byrds,Morbi Neque Tellus PC,2005-05-29,202
121,Stand!,Sly & The Family Stone,Lectus Rutrum Urna Corp.,2001-11-12,202
122,The Harder They Come,Various Artists,Aliquet Libero Industries,1997-04-23,202
123,Raising Hell,Run D.M.C.,Curabitur Institute,1982-01-31,202
124,Moby Grape,Moby Grape,Pede PC,2010-01-26,202
125,Pearl,Janis Joplin,Felis Company,1993-01-12,202
126,Catch a Fire,The Wailers,Eget Corporation,2000-02-01,202
127,Younger Than Yesterday,The Byrds,Lectus Sit Corporation,2005-11-03,202
128,Raw Power,Iggy and The Stooges,Sociis Natoque Foundation,1978-03-08,202
129,Remain in Light,Talking Heads,Lorem Corporation,2008-04-18,202
130,Marquee Moon,Television,Ut Tincidunt Industries,1977-05-30,202
131,Paranoid,Black Sabbath,Sapien Molestie Orci Institute,1984-04-09,202
132,Saturday Night Fever: The Original Movie Sound Track,Various Artists,Amet Corporation,1988-11-21,202
133,The Wild, the Innocent & the E Street Shuffle,Lectus Convallis Consulting,2000-07-24,202
134,Ready to Die,The Notorious B.I.G.,Magna Ltd,1994-03-25,202
135,Slanted and Enchanted,Pavement,Ac Orci Industries,1963-03-02,202
136,Greatest Hits,Elton John,Lacus Quisque Incorporated,1987-11-21,202
137,Tim,The Replacements,Curabitur Massa Vestibulum Ltd,1991-06-25,202
138,The Chronic,Dr. Dre,Vitae Orci Foundation,1963-01-12,202
139,Rejuvenation,The Meters,Curabitur Dictum Phasellus PC,2018-06-15,202
140,Parallel Lines,Blondie,Adipiscing Elit Etiam LLP,1998-07-18,202
141,Live at the Regal,B.B. King,Molestie Dapibus Ligula Corporation,2013-08-19,202
142,A Christmas Gift for You From Phil Spector,Phil Spector,Sit Amet Corporation,2019-07-12,202
143,Gris-Gris,Dr. John,Sollicitudin A Malesuada Associates,1982-03-07,202
144,Straight Outta Compton,N.W.A,Sed Leo Consulting,2001-12-14,202
145,Aja,Steely Dan,Montes Nascetur Ridiculus Company,1960-02-01,202
146,Surrealistic Pillow,Jefferson Airplane,Elit Industries,2022-02-01,202
147,Deja vu,Crosby,Mus Proin Vel Consulting,1973-02-05,202
148,Houses of the Holy,Led Zeppelin,Morbi Metus Corp.,2011-01-10,202
149,Santana,Santana,Sed Incorporated,2007-04-20,202
150,Darkness on the Edge of Town,Bruce Springsteen,Libero Donec Consectetuer Industries,2011-03-20,202
151,Funeral,Arcade Fire,Odio Nam Foundation,1978-05-03,202
152,The B 52 s / Play Loud,The B 52 s,Risus Donec Associates,2022-05-11,202
153,The Low End Theory,A Tribe Called Quest,Tellus Justo Sit LLC,2001-05-02,203
154,Moanin  in the Moonlight,Howlin  Wolf,Nec Mollis Vitae Corporation,1973-11-22,203
155,Pretenders,Pretenders,Tellus Faucibus Leo LLP,1984-07-03,203
156,Paul s Boutique,Beastie Boys,Donec Dignissim Incorporated,1967-09-08,203
157,Closer,Joy Division,Imperdiet Dictum Magna LLC,1998-03-24,203
158,Captain Fantastic and the Brown Dirt Cowboy,Elton John,Malesuada Fringilla Est Associates,2005-09-12,203
159,Alive!,KISS,Mi Corporation,2001-08-16,203
160,Electric Warrior,T. Rex,Amet Dapibus Id LLC,1975-04-27,203
161,The Dock of the Bay,Otis Redding,Purus Consulting,2020-11-27,203
162,OK Computer,Radiohead,Adipiscing Fringilla Porttitor Incorporated,2008-12-09,203
163,1999,Prince,Taciti Company,2016-12-25,203
164,The Very Best of Linda Ronstadt,Linda Ronstadt,Mi Inc.,2002-02-28,203
165,Let s Get It On,Marvin Gaye,Justo Sit Amet Company,2017-12-09,203
166,Imperial Bedroom,Elvis Costello & The Attractions,Donec Associates,1962-05-27,203
167,Master of Puppets,Metallica,Interdum Nunc Incorporated,2018-11-29,203
168,My Aim Is True,Elvis Costello,Non PC,1974-05-01,203
169,Exodus,Bob Marley & The Wailers,Integer Consulting,2000-10-01,203
170,Live at Leeds,The Who,Donec Tempor Est Foundation,1963-06-11,203
171,The Notorious Byrd Brothers,The Byrds,Sed LLP,2006-09-13,203
172,Every Picture Tells a Story,Rod Stewart,Iaculis Lacus Industries,2008-05-28,203
173,Something/Anything?,Todd Rundgren,Elit Nulla Facilisi Limited,1976-12-18,203
174,Desire,Bob Dylan,Felis PC,1971-02-02,203
175,Close to You,Carpenters,Blandit Mattis Institute,1996-05-17,203
176,Rocks,Aerosmith,Ipsum Nunc Id Corporation,1988-03-08,203
177,One Nation Under a Groove,Funkadelic,Dictum Eu PC,1969-10-10,203
178,The Anthology: 1961-1977,Curtis Mayfield and The Impressions,Non LLC,2011-08-16,203
179,The Definitive Collection,ABBA,Dignissim Pharetra Nam Corporation,2011-11-28,203
180,The Rolling Stones, Now!,Eu Odio Phasellus Industries,1983-04-22,203
181,Natty Dread,Bob Marley & The Wailers,Laoreet Posuere Enim Associates,2006-04-20,203
182,Fleetwood Mac,Fleetwood Mac,Lorem Industries,1959-09-21,203
183,Red Headed Stranger,Willie Nelson,At Auctor Ullamcorper Corp.,2001-03-15,203
184,The Immaculate Collection,Madonna,Nec Incorporated,1972-05-15,203
185,The Stooges,The Stooges,Arcu Sed Eu Incorporated,1988-11-14,203
186,Fresh,Sly & The Family Stone,Dignissim Pharetra Associates,1961-10-14,203
187,So,Peter Gabriel,Feugiat Associates,2004-10-17,203
188,Buffalo Springfield Again,Buffalo Springfield,Dis Parturient Montes Corporation,1989-11-27,203
189,Happy Trails,Quicksilver Messenger Service,Magna Praesent Interdum Foundation,1965-02-04,203
190,From Elvis in Memphis,Elvis Presley,Vivamus Sit Amet Incorporated,1980-11-20,203
191,Fun House,The Stooges,Porttitor Eros Foundation,2001-02-12,203
192,The Gilded Palace of Sin,The Flying Burrito Brothers,Non Associates,1967-02-23,203
193,Dookie,Green Day,In Faucibus Orci LLC,1962-10-30,203
194,Transformer,Lou Reed,Adipiscing Ligula Company,2019-04-19,203
195,Blues Breakers With Eric Clapton (The Beano Album),John Mayall & The Bluesbreakers,Risus Quis LLP,2018-06-23,203
196,Nuggets: Original Artyfacts From the First Psychedelic Era, 1965-1968,A Magna Foundation,1981-06-03,203
197,Murmur,R.E.M.,Condimentum Donec At Corp.,1982-11-29,203
198,The Best of Little Walter,Little Walter,Ultricies Dignissim PC,1998-06-25,203
199,Is This It,The Strokes,Aliquam Fringilla Cursus Limited,1967-03-22,203
200,Highway to Hell,AC/DC,Ac Orci Ut Industries,1969-02-10,203
201,The Downward Spiral,Nine Inch Nails,Sit Amet Industries,1971-05-10,203
202,Parsley, Sage,In Hendrerit Associates,1960-05-09,203
203,Bad,Michael Jackson,Diam Lorem Inc.,2014-10-26,203
204,Modern Times,Bob Dylan,Eu Nulla At Foundation,1990-06-22,204
205,Wheels of Fire,Cream,Pede Nec PC,1981-02-11,204
206,Dirty Mind,Prince,Tempus Incorporated,1969-11-30,204
207,Abraxas,Santana,Amet Associates,1985-07-30,204
208,Tea for the Tillerman,Cat Stevens,Nullam Inc.,1978-05-02,204
209,Ten,Pearl Jam,Sit Incorporated,1969-01-03,204
210,Everybody Knows This Is Nowhere,Neil Young & Crazy Horse,Fusce Feugiat Corp.,2008-02-18,204
211,Wish You Were Here,Pink Floyd,Lobortis Ltd,1998-04-09,204
212,Crooked Rain Crooked Rain,Pavement,Malesuada Integer Corporation,1998-02-17,204
213,Tattoo You,The Rolling Stones,Faucibus Corporation,1984-03-03,204
214,Proud Mary: The Best of Ike and Tina Turner,Ike & Tina Turner,Nisl Arcu Iaculis Incorporated,2012-12-05,204
215,New York Dolls,New York Dolls,Nullam Foundation,1983-11-14,204
216,Bo Diddley / Go Bo Diddley,Bo Diddley,Orci Corporation,1984-03-02,204
217,Two Steps From the Blues,Bobby Blue Bland,Augue Associates,1996-10-13,204
218,The Queen Is Dead,The Smiths,Ultricies LLC,2007-06-20,204
219,Licensed to Ill,Beastie Boys,Aliquet Metus Urna Ltd,1997-09-30,204
220,Look-Ka Py Py,The Meters,Curabitur Egestas Limited,1990-07-18,204
221,Loveless,My Bloody Valentine,Felis Nulla Tempor Corporation,1962-06-08,204
222,New Orleans Piano,Professor Longhair,Turpis Company,2003-02-08,204
223,War,U2,Nulla Eu Consulting,1999-05-10,204
224,The Neil Diamond Collection,Neil Diamond,Senectus Corp.,1970-04-16,204
225,American Idiot,Green Day,Nam Ligula Elit LLC,1990-05-15,204
226,Nebraska,Bruce Springsteen,Nulla Tincidunt Associates,2005-07-13,204
227,Doolittle,Pixies,Cras Convallis Convallis Institute,1974-09-20,204
228,Paid in Full,Eric B. & Rakim,Nec PC,1959-10-16,204
229,Toys in the Attic,Aerosmith,Molestie Pharetra Industries,2001-11-10,204
230,Nick of Time,Bonnie Raitt,Elit Etiam Laoreet Foundation,1991-07-17,204
231,A Night at the Opera,Queen,Sem Incorporated,1989-01-04,204
232,The Kink Kronikles,The Kinks,Odio Phasellus Incorporated,2003-03-01,204
233,Mr. Tambourine Man,The Byrds,Montes Nascetur Ridiculus Industries,1975-07-01,204
234,Bookends,Simon & Garfunkel,Ullamcorper Eu Inc.,2004-05-20,204
235,The Ultimate Collection,Patsy Cline,Lacus Company,2002-08-21,204
236,Mr. Excitement!,Jackie Wilson,Vulputate Posuere Vulputate PC,2011-07-19,204
237,My Generation,The Who,Libero Donec Consectetuer Institute,1988-06-12,204
238,Howlin  Wolf,Howlin  Wolf,Enim Curabitur Massa Corporation,2005-11-13,204
239,Like a Prayer,Madonna,Donec Non Corporation,1978-12-14,204
240,Can t Buy a Thrill,Steely Dan,Venenatis Company,2020-09-10,204
241,Let It Be,The Replacements,Vehicula Aliquet Libero Limited,1973-12-03,204
242,Run D.M.C.,Run D.M.C.,Venenatis Lacus Etiam LLC,2013-02-16,204
243,Black Sabbath,Black Sabbath,Sollicitudin Orci Limited,1991-09-04,204
244,The Marshall Mathers LP,Eminem,Quis Turpis Company,2020-07-01,204
245,All Killer No Filler! The Jerry Lee Lewis Anthology,Jerry Lee Lewis,Cursus Vestibulum Mauris Institute,2009-05-15,204
246,Freak Out!,The Mothers of Invention,Urna Consulting,1986-05-03,204
